"Genotypes","Trait1","Trait2"
"1950","138.398002333298","23.3107859407752"
"1714","140.607014695478","19.0468697180255"
"1661","143.302372924172","15.7942852645639"
"1892","129.348785658917","27.7344949863431"
"1397","137.395403263998","19.0146536094175"
"1391","140.573117774741","15.5626641782177"
"1491","132.230264525922","22.3319027854205"
"1624","134.159832348112","20.173368701234"
"1445","134.214457591732","19.8829742904497"
"1701","130.572095646825","22.7229566946829"
"1530","125.351271994732","27.0670963958886"
"1696","127.929782935727","23.9937043634795"
"1540","129.646413262913","21.7884294563773"
"1911","128.414779952093","22.9800153860626"
"1494","131.193407679775","20.1334920730489"
"1162","121.687754005183","29.4933385500937"
"1058","129.929991925123","21.2442908190692"
"1560","129.206835474897","21.5738625145462"
"1054","128.189948171904","22.543577093965"
"1285","129.190765482688","20.6328347406665"
"1254","125.696504922164","23.0149698560572"
"1676","126.176351800923","21.7917752800036"
"2004","125.217325697734","22.5618111879232"
"1476","125.171189981469","22.0857141192253"
"1923","123.920748506987","23.1332870766017"
"2022","122.603623575753","24.3868867231943"
"1989","122.448014091239","23.9414937722509"
"1261","131.844769679209","14.5040433271799"
"1469","122.883144861717","23.0187299293593"
"1762","123.063585652962","22.6458440997001"
"1417","118.040383663738","27.3941142395448"
"1129","122.217400743287","23.2151269902351"
"1433","126.521700652625","18.7496730853231"
"1284","126.629564263244","18.3433413952131"
"1656","127.016215337039","17.9226723368563"
"1276","128.612456556938","16.2776242885922"
"2043","120.383885657661","24.4080522224714"
"1114","128.386808988539","16.2582789057365"
"1422","129.651968429287","14.4162595389455"
"1450","122.50505137764","21.2770157154143"
"1503","122.933599984228","20.5189804030745"
"1107","127.374154069963","16.0738044490635"
"1662","119.705351945801","23.7057674415081"
"1461","120.097265868629","23.2578480749347"
"2031","124.202816264623","18.9748796067869"
"1652","118.308344866259","24.7678406238695"
"1763","121.673282347799","21.3704909973663"
"1430","129.326405721818","13.6525263839653"
"1328","116.021923066687","26.8973122919003"
"1249","125.950161599673","16.9589689520351"
"1220","128.143777642293","14.4855558899982"
"1241","119.574003030871","22.9785489925374"
"1994","127.839772623259","14.4756656992474"
"1749","122.542999387961","19.769449819093"
"1286","127.612648455748","14.3623525677938"
"1453","126.137495816474","15.7314687606146"
"1132","119.786889137774","22.0132529691291"
"1945","124.57987901914","16.878338071628"
"1120","119.655980270223","21.5535065758803"
"1674","112.868169033124","28.2135212598612"
"1539","121.466754123367","19.4968513104048"
"1977","120.295335946927","20.5503943248358"
"2034","117.850943131534","22.7986295563013"
"1376","121.186789593571","19.3632546073755"
"1229","122.435691301139","17.8588702796633"
"1790","115.800261869958","24.4084203529276"
"1055","119.397590098059","20.697968913893"
"1757","120.989007881169","19.0549671985167"
"1513","118.221965385685","21.7209832207015"
"1970","120.05826688014","19.3373169657418"
"1956","118.418798476933","20.9745447814327"
"1724","120.209390547116","18.9067716704158"
"1356","121.759481076622","17.340964937174"
"1148","119.67340171026","19.3649322222403"
"1201","118.28336103436","20.6506130746508"
"1919","120.5973808369","18.1762393471025"
"1237","118.190278760299","20.3353078760332"
"1934","120.167318766514","18.2306732421455"
"2026","127.723633579378","10.544641649216"
"1745","114.969535851353","23.1792172389864"
"1280","125.002874318754","13.0419982973367"
"1105","121.404462968498","16.5430557350498"
"1815","123.849792381479","13.8300955358783"
"1614","116.49855692966","21.1333501645564"
"1197","116.379922442217","21.1132642598756"
"2016","116.990357363474","20.3768012591355"
"1848","116.572150624062","20.7767533538516"
"1609","122.783812806772","14.5322471793279"
"1185","119.61473738509","17.6977140307991"
"1180","119.543778148849","17.7511980277669"
"1769","116.6718988766","20.5164158586479"
"1756","123.929714794912","13.1974533957705"
"1504","118.377159176382","18.6421104654258"
"1322","112.622689469733","23.9521875353357"
"1221","121.682355826367","14.7494069564279"
"1524","111.756675939579","24.6367738003397"
"1722","119.114071616083","17.2197009294793"
"2021","108.381414391545","27.8959256362481"
"1127","113.833677150095","22.2480200497141"
"1333","115.559140768309","20.4297031949078"
