"chr","pos","mkr"
"1",1.22232437525587,"1_7"
"1",2.04068585726553,"1_13"
"1",2.30582908449468,"1_15"
"1",2.90969790120404,"1_23"
"1",4.16931352251029,"1_29"
"1",4.18032824989696,"1_30"
"1",4.66930741446414,"1_34"
"1",4.82255155776144,"1_35"
"1",5.07336593150608,"1_37"
"1",9.89184543113038,"1_57"
"1",11.3021756164171,"1_64"
"1",11.4488728628894,"1_66"
"1",15.2065785036012,"1_88"
"1",15.7234558651861,"1_91"
"1",16.9491783824395,"1_99"
"1",17.5915704344297,"1_102"
"1",19.7235750326926,"1_103"
"1",19.782175793172,"1_105"
"1",21.2392485072123,"1_110"
"1",21.4295709786302,"1_112"
"1",22.2650486337261,"1_115"
"1",23.5479618213444,"1_122"
"1",25.3417407174508,"1_130"
"1",25.4156659687466,"1_131"
"1",25.4477322081497,"1_132"
"1",29.4167775091736,"1_147"
"1",30.5345123356321,"1_151"
"1",31.7469525702846,"1_159"
"1",33.9054950371051,"1_170"
"1",33.9195446010063,"1_171"
"1",34.5515042382131,"1_174"
"1",34.7849366226793,"1_175"
"1",35.8650766553567,"1_184"
"1",36.1839973138915,"1_189"
"1",36.407805240889,"1_192"
"1",36.816307929529,"1_197"
"1",37.0690739495337,"1_199"
"1",37.725429193426,"1_206"
"1",38.6811289438071,"1_207"
"1",38.814579589149,"1_208"
"1",39.0946940318308,"1_210"
"1",39.5390676182954,"1_217"
"1",40.1115081100044,"1_219"
"1",40.2888051936814,"1_221"
"1",44.0519666885425,"1_242"
"1",46.0906959880306,"1_252"
"1",46.5853063730078,"1_255"
"1",46.9024497672791,"1_256"
"1",47.0949159113045,"1_259"
"1",47.544566945337,"1_262"
"1",48.3942196055524,"1_266"
"1",48.4446078126191,"1_268"
"1",48.452400437091,"1_269"
"1",49.3269477906647,"1_274"
"1",51.3514685969102,"1_280"
"1",51.9094596469961,"1_284"
"1",52.1125841740337,"1_286"
"1",52.7673202562771,"1_290"
"1",53.4488497345274,"1_297"
"1",53.6482036245459,"1_300"
"1",53.6694687722772,"1_301"
"1",54.9904146989406,"1_312"
"1",55.5127460740745,"1_318"
"1",59.0596909523928,"1_335"
"1",60.390878211836,"1_341"
"1",60.7071922972275,"1_343"
"1",61.7520885697424,"1_348"
"1",62.1188934916134,"1_354"
"1",62.1269508223931,"1_355"
"1",63.4694010276037,"1_360"
"1",63.926097183548,"1_363"
"1",65.4606976359307,"1_371"
"1",65.720729609049,"1_373"
"1",66.985685588164,"1_377"
"1",67.3870408129857,"1_379"
"1",68.0865178090971,"1_381"
"1",68.2488795318496,"1_383"
"1",69.8323746670514,"1_396"
"1",70.0208989330252,"1_398"
"1",70.3333350638601,"1_400"
"1",70.3758005685226,"1_401"
"1",70.7253372360519,"1_403"
"1",71.0780180570757,"1_405"
"1",71.6485253594426,"1_410"
"1",71.6957496620423,"1_411"
"1",73.3959120160257,"1_418"
"1",73.4443135204802,"1_419"
"1",73.9150793051591,"1_423"
"1",75.6336376214932,"1_429"
"1",75.7249292312019,"1_434"
"1",78.7211272483685,"1_465"
"1",79.2427624828933,"1_466"
"1",80.3647534364432,"1_477"
"1",82.0373572990658,"1_483"
"1",83.1898682394664,"1_489"
"1",83.5491487899564,"1_492"
"1",84.0526351245715,"1_500"
"1",84.7450600279437,"1_502"
"1",84.8652962604312,"1_503"
"1",86.6959176665419,"1_511"
"1",87.1838118480897,"1_513"
"1",87.8591539573914,"1_514"
"1",88.6496590346975,"1_519"
"1",89.0556816955023,"1_526"
"1",90.3253134590399,"1_529"
"1",91.3705294934295,"1_537"
"1",91.9919125355602,"1_548"
"1",92.056317222241,"1_550"
"1",92.5821395514154,"1_554"
"1",92.9478101980499,"1_556"
"1",94.1021143963156,"1_561"
"1",95.3611008041972,"1_564"
"1",96.6055785702976,"1_570"
"1",96.6521711815652,"1_571"
"1",97.3089360117089,"1_573"
"1",97.4727954956172,"1_575"
"1",97.4903931162467,"1_576"
"1",98.1558461289742,"1_582"
"1",99.1342831787459,"1_592"
"1",99.7047716406561,"1_595"
"2",0,"2_1"
"2",1.01309594445096,"2_9"
"2",1.08813008960976,"2_11"
"2",1.59742720546749,"2_15"
"2",2.80449287820761,"2_21"
"2",4.86914116387947,"2_33"
"2",5.71657495484584,"2_37"
"2",9.45915721441608,"2_53"
"2",9.75508291878172,"2_55"
"2",9.97905324541286,"2_57"
"2",10.7411209312372,"2_64"
"2",11.3117647722795,"2_67"
"2",14.4156119762039,"2_77"
"2",15.8189132570382,"2_84"
"2",15.8468672710993,"2_87"
"2",16.5716386720466,"2_91"
"2",17.8107229581945,"2_95"
"2",18.4416566069928,"2_96"
"2",18.8992602610134,"2_99"
"2",21.0710917887485,"2_106"
"2",21.7263255530904,"2_115"
"2",22.3833753886714,"2_126"
"2",22.4727513158088,"2_128"
"2",22.8782017985347,"2_132"
"2",23.3927454159701,"2_134"
"2",23.3989187072941,"2_135"
"2",24.2446789359309,"2_141"
"2",24.2872438773128,"2_142"
"2",24.3199964586951,"2_143"
"2",24.4101747540729,"2_144"
"2",25.4988590883331,"2_155"
"2",25.9165405642334,"2_162"
"2",26.0590478516967,"2_163"
"2",27.3667326550208,"2_169"
"2",28.0420101502828,"2_173"
"2",28.863982477209,"2_180"
"2",30.8716791574623,"2_194"
"2",32.7433673737162,"2_206"
"2",35.6326614941193,"2_221"
"2",35.6389751051076,"2_222"
"2",35.9986795136805,"2_225"
"2",37.1664624340348,"2_228"
"2",38.588278915066,"2_239"
"2",39.6221052221732,"2_242"
"2",42.1587321680626,"2_250"
"2",42.3177394081192,"2_253"
"2",43.1958690889793,"2_255"
"2",44.2140913000085,"2_258"
"2",44.2770000040296,"2_261"
"2",45.2924108492392,"2_268"
"2",45.321865999506,"2_269"
"2",47.3022374656955,"2_281"
"2",48.7123817108084,"2_291"
"2",50.2687459410309,"2_300"
"2",50.3872591623766,"2_301"
"2",51.7649392834784,"2_306"
"2",51.8894303868213,"2_308"
"2",51.9056693955248,"2_309"
"2",52.0454527728922,"2_310"
"2",52.8735472086146,"2_316"
"2",53.7049975354316,"2_319"
"2",54.3640353696356,"2_323"
"2",54.9217595495173,"2_330"
"2",54.9278795067998,"2_331"
"2",55.7880654392686,"2_340"
"2",59.2055881316976,"2_359"
"2",59.3950859981845,"2_362"
"2",59.783079409249,"2_366"
"2",60.3034408365492,"2_370"
"2",60.3779907302779,"2_374"
"2",60.4596490245068,"2_376"
"2",61.5963173663574,"2_382"
"2",62.0069709299754,"2_385"
"2",62.8374382305023,"2_394"
"2",64.9757311041454,"2_400"
"2",65.4300486708407,"2_402"
"2",66.1087700777769,"2_404"
"2",67.3582414307098,"2_415"
"2",67.3986579287092,"2_417"
"2",69.2468197366275,"2_422"
"2",70.1454184256754,"2_428"
"2",73.1438721502118,"2_446"
"2",73.3363699276288,"2_448"
"2",75.6155190492087,"2_462"
"2",75.8162451823787,"2_463"
"2",75.8323320330638,"2_464"
"2",77.4535723897978,"2_475"
"2",78.3492723516973,"2_481"
"2",78.4156134049111,"2_482"
"2",78.4452046118689,"2_483"
"2",78.6166313705877,"2_486"
"2",78.8151985236831,"2_487"
"2",79.3121875401117,"2_493"
"2",80.2621326500992,"2_498"
"2",82.306130725331,"2_509"
"2",82.3718151363954,"2_510"
"2",83.4737709209556,"2_514"
"2",83.9921617233628,"2_517"
"2",84.1130803618555,"2_518"
"2",84.6336921472866,"2_522"
"2",84.6731833366152,"2_523"
"2",85.3058171597466,"2_527"
"2",85.942481029279,"2_534"
"2",88.2793969719912,"2_542"
"2",89.0530438868551,"2_549"
"2",89.9554931762045,"2_551"
"2",91.0624496397696,"2_560"
"2",91.9931859580781,"2_563"
"2",92.0082319957721,"2_564"
"2",92.6594442727724,"2_569"
"2",92.7641638417316,"2_570"
"2",93.0431858854396,"2_571"
"2",93.6141429039435,"2_574"
"2",94.4984684993271,"2_576"
"2",94.5711530540305,"2_577"
"2",95.4215386117009,"2_580"
"2",96.1166360718319,"2_586"
"2",96.8453702071777,"2_588"
"2",99.3310249252674,"2_596"
"2",99.3468487544917,"2_597"
"3",0,"3_1"
"3",0.902754443661473,"3_7"
"3",1.1284950877646,"3_8"
"3",1.52812617486769,"3_18"
"3",1.75490347334334,"3_20"
"3",3.23152923417188,"3_26"
"3",3.92778086300307,"3_27"
"3",4.52040544426783,"3_30"
"3",4.7776662581062,"3_32"
"3",5.03433441146694,"3_34"
"3",5.77169991785291,"3_38"
"3",7.0919368773405,"3_43"
"3",7.13022680344296,"3_44"
"3",7.73936316003261,"3_53"
"3",10.3876189480043,"3_67"
"3",11.5026274882386,"3_72"
"3",11.553085511128,"3_73"
"3",11.7920068672988,"3_74"
"3",13.8351929432728,"3_81"
"3",14.7905582319838,"3_87"
"3",14.7947426888261,"3_88"
"3",14.9759318851741,"3_89"
"3",15.9405955723884,"3_93"
"3",16.8062357620927,"3_99"
"3",17.3468651613316,"3_104"
"3",17.3586563439827,"3_106"
"3",19.3065160999229,"3_118"
"3",20.1200731776193,"3_120"
"3",20.3472345114212,"3_123"
"3",20.7656887137626,"3_127"
"3",22.3277303185357,"3_134"
"3",22.7942722668637,"3_137"
"3",23.9027327467739,"3_142"
"3",23.9753976493464,"3_143"
"3",24.4823835325241,"3_147"
"3",24.8848032820671,"3_148"
"3",26.0777433393779,"3_154"
"3",26.571321278284,"3_158"
"3",28.4707783125064,"3_168"
"3",28.9481022130394,"3_170"
"3",29.0249897357651,"3_171"
"3",29.1285075655107,"3_173"
"3",29.3535228791933,"3_175"
"3",29.8983646867159,"3_177"
"3",29.9842294933701,"3_179"
"3",31.7600139748579,"3_182"
"3",32.3563071161513,"3_184"
"3",33.9020056894345,"3_192"
"3",35.0463345990939,"3_197"
"3",36.6358790507779,"3_206"
"3",36.8160788997148,"3_207"
"3",37.4481308693548,"3_215"
"3",39.7514358590981,"3_225"
"3",39.9017901293789,"3_226"
"3",40.2147764284463,"3_227"
"3",40.6139985213777,"3_231"
"3",40.8190501570484,"3_233"
"3",41.3692591640731,"3_235"
"3",42.8491805992389,"3_241"
"3",42.8723140777745,"3_242"
"3",43.428541188198,"3_248"
"3",43.6615754891873,"3_251"
"3",43.9011013225757,"3_253"
"3",44.3240947068241,"3_257"
"3",44.7212577552763,"3_260"
"3",46.5298233214834,"3_268"
"3",46.8472218787156,"3_271"
"3",47.6013375274206,"3_276"
"3",47.8024817247831,"3_277"
"3",47.8613162319066,"3_278"
"3",48.5344875540515,"3_283"
"3",49.5263556533627,"3_291"
"3",50.2447717470097,"3_295"
"3",50.9632418655528,"3_296"
"3",51.4469192409138,"3_298"
"3",52.6525603799791,"3_305"
"3",54.8397385951255,"3_310"
"3",55.3987796501998,"3_312"
"3",55.7443603283052,"3_315"
"3",56.1346706788561,"3_316"
"3",57.7131027180068,"3_326"
"3",57.8452162902916,"3_327"
"3",58.026005929001,"3_328"
"3",58.2181722046029,"3_331"
"3",60.5857315229428,"3_344"
"3",60.80990462785,"3_347"
"3",60.9564290142219,"3_349"
"3",61.7317446635688,"3_358"
"3",62.1383998858453,"3_362"
"3",63.3184106196902,"3_371"
"3",63.7389049504846,"3_376"
"3",65.1578136590377,"3_381"
"3",66.3006458039511,"3_384"
"3",68.3300217058453,"3_393"
"3",69.2136762754462,"3_399"
"3",69.4539577323258,"3_403"
"3",70.081631526031,"3_407"
"3",70.1591147675438,"3_408"
"3",71.255010575219,"3_416"
"3",73.4090720115858,"3_429"
"3",77.2681930354042,"3_447"
"3",78.8319662898279,"3_453"
"3",78.9498878468833,"3_454"
"3",79.4327469665338,"3_456"
"3",80.3304085846328,"3_461"
"3",81.0479776285041,"3_466"
"3",82.8067217527147,"3_474"
"3",84.7242056727446,"3_483"
"3",86.7340082612612,"3_493"
"3",88.1477051566769,"3_506"
"3",88.392897741723,"3_513"
"3",88.5142603246571,"3_515"
"3",89.9930557721661,"3_529"
"3",90.1380184187274,"3_531"
"3",91.6820239616598,"3_546"
"3",95.166629231004,"3_571"
"3",95.1681372353092,"3_572"
"3",96.5419824811758,"3_581"
"3",96.9106786453759,"3_583"
"3",99.5610904948364,"3_598"
"4",0.378179380745207,"4_3"
"4",0.747820553902339,"4_5"
"4",0.895387343053671,"4_8"
"4",1.37023777322815,"4_17"
"4",1.56012766290239,"4_18"
"4",3.74914281027196,"4_35"
"4",4.16669809653902,"4_41"
"4",4.25708422813845,"4_42"
"4",4.28071949655402,"4_43"
"4",4.44079401800367,"4_45"
"4",5.0952628854998,"4_46"
"4",6.99150835990002,"4_56"
"4",8.92646231960058,"4_68"
"4",9.78390970507123,"4_73"
"4",9.92694503776909,"4_75"
"4",10.4708729528826,"4_80"
"4",11.019492798499,"4_83"
"4",11.8270441349031,"4_87"
"4",12.0356201881232,"4_91"
"4",12.2357648025633,"4_92"
"4",12.8087891936629,"4_95"
"4",12.9572307608779,"4_98"
"4",12.9633952687624,"4_100"
"4",12.967460443075,"4_101"
"4",14.0956810600482,"4_107"
"4",14.8542190151026,"4_112"
"4",16.0738132172458,"4_113"
"4",16.7951063192632,"4_116"
"4",17.0434657453248,"4_118"
"4",17.8575189275022,"4_122"
"4",18.2607561683706,"4_124"
"4",19.1099042833774,"4_130"
"4",21.963145014902,"4_143"
"4",22.9317262271656,"4_149"
"4",23.6696476839097,"4_151"
"4",26.0986160712135,"4_159"
"4",26.1761701982702,"4_160"
"4",26.4570366218822,"4_166"
"4",26.5513915676723,"4_167"
"4",28.8579976343164,"4_185"
"4",30.550000223488,"4_195"
"4",30.5747674827409,"4_196"
"4",31.9330002108623,"4_202"
"4",32.1484447311222,"4_203"
"4",32.3609038910262,"4_205"
"4",32.4175798132526,"4_207"
"4",32.4928555134007,"4_208"
"4",34.2678435925124,"4_215"
"4",36.003992421853,"4_225"
"4",36.1020505255658,"4_228"
"4",36.3277443569129,"4_232"
"4",36.5855662170569,"4_235"
"4",37.2504855667748,"4_241"
"4",38.0549296519543,"4_247"
"4",38.3473768588073,"4_251"
"4",38.6346220658027,"4_255"
"4",39.4370413873081,"4_259"
"4",40.7692949960892,"4_265"
"4",42.6162357751251,"4_276"
"4",43.4210226720989,"4_280"
"4",45.2993290950836,"4_282"
"4",45.8356942873115,"4_283"
"4",46.0854340587307,"4_285"
"4",48.9192739705785,"4_301"
"4",50.5452064186785,"4_306"
"4",51.4979937910325,"4_310"
"4",51.6968329985489,"4_311"
"4",51.7921779401917,"4_313"
"4",53.8059133191998,"4_328"
"4",54.4150651312375,"4_332"
"4",55.0313269822718,"4_336"
"4",55.6995545891513,"4_337"
"4",56.6877746999044,"4_345"
"4",56.8317610175433,"4_346"
"4",57.8310965910408,"4_355"
"4",58.7240035232711,"4_362"
"4",59.5867967997697,"4_370"
"4",60.6187645454317,"4_377"
"4",61.5912245476671,"4_385"
"4",62.2543157905961,"4_391"
"4",62.2812812272342,"4_392"
"4",62.6864344454423,"4_399"
"4",62.8790684847242,"4_401"
"4",63.7845373236139,"4_408"
"4",64.63402051515,"4_414"
"4",64.7224281602974,"4_415"
"4",64.7238748909756,"4_416"
"4",64.9455324294713,"4_420"
"4",65.356067119674,"4_423"
"4",66.0981491559598,"4_426"
"4",66.0982223776721,"4_427"
"4",67.2698956533235,"4_431"
"4",70.0399001388378,"4_447"
"4",70.49528709157,"4_449"
"4",70.9717689582341,"4_452"
"4",71.2305980864203,"4_455"
"4",71.2319479674072,"4_456"
"4",73.6260803072907,"4_467"
"4",74.2259453478059,"4_471"
